NSE,Name,Symbol
NSE: ELGIEQUIP,Elgi Equipments Limited,ELGIEQUIP
NSE: ELGIRUBCO,Elgi Rubber Company Limited,ELGIRUBCO
NSE: EMAMILTD,Emami Limited,EMAMILTD
NSE: EMAMIPAP,Emami Paper Mills Limited,EMAMIPAP
NSE: EMAMIREAL,Emami Realty Limited,EMAMIREAL
NSE: EMCO,Emco Limited,EMCO
NSE: EMKAY,Emkay Global Financial Services Limited,EMKAY
NSE: EMKAYTOOLS,Emkay Taps and Cutting Tools Limited,EMKAYTOOLS
NSE: EMIL,Electronics Mart India Limited,EMIL
NSE: EMMBI,Emmbi Industries Limited,EMMBI
NSE: EDL,Empee Distilleries Limited,EDL
NSE: ENDURANCE,Endurance Technologies Limited,ENDURANCE
NSE: ENERGYDEV,Energy Development Company Limited,ENERGYDEV
NSE: ENGINERSIN,Engineers India Limited,ENGINERSIN
NSE: ENIL,Entertainment Network (India) Limited,ENIL
NSE: EON,Eon Electric Limited,EON
NSE: EQUITAS,Equitas Holdings Limited,EQUITAS
NSE: EQUITASBNK,Equitas Small Finance Bank Limited,EQUITASBNK
NSE: ERIS,Eris Lifesciences Limited,ERIS
NSE: EROSMEDIA,Eros International Media Limited,EROSMEDIA
NSE: ESABINDIA,Esab India Limited,ESABINDIA
NSE: ESCORTS,Escorts Limited,ESCORTS
NSE: ESSARSHPNG,Essar Shipping Limited,ESSARSHPNG
NSE: ESSELPACK,Essel Propack Limited,ESSELPACK
NSE: ESTER,Ester Industries Limited,ESTER
NSE: EUROCERA,Euro Ceramics Limited,EUROCERA
NSE: EIFFL,Euro India Fresh Foods Limited,EIFFL
NSE: EUROMULTI,Euro Multivision Limited,EUROMULTI
NSE: EUROTEXIND,Eurotex Industries and Exports Limited,EUROTEXIND
NSE: EVEREADY,Eveready Industries India Limited,EVEREADY
NSE: EVERESTIND,Everest Industries Limited,EVERESTIND
NSE: EKC,Everest Kanto Cylinder Limited,EKC
NSE: EXCELINDUS,Excel Industries Limited,EXCELINDUS
NSE: EXCEL,Excel Realty N Infra Limited,EXCEL
NSE: EXIDEIND,Exide Industries Limited,EXIDEIND
NSE: EXPLEOSOL,Expleo Solutions Limited,EXPLEOSOL
NSE: FAIRCHEM,Fairchem Speciality Limited,FAIRCHEM
NSE: FCSSOFT,FCS Software Solutions Limited,FCSSOFT
NSE: FDC,FDC Limited,FDC
NSE: FMGOETZE,Federal-Mogul Goetze (India) Limited,FMGOETZE
NSE: FELIX,Felix Industries Limited,FELIX
NSE: FACT,Fertilizers and Chemicals Travancore Limited,FACT
NSE: FIEMIND,Fiem Industries Limited,FIEMIND
NSE: FILATEX,Filatex India Limited,FILATEX
NSE: FINEORG,Fine Organic Industries Limited,FINEORG
NSE: FCL,Fineotex Chemical Limited,FCL
NSE: FINCABLES,Finolex Cables Limited,FINCABLES
NSE: FINPIPE,Finolex Industries Limited,FINPIPE
NSE: FSL,Firstsource Solutions Limited,FSL
NSE: FLEXITUFF,Flexituff Ventures International Limited,FLEXITUFF
NSE: FOCUS,Focus Lighting and Fixtures Limited,FOCUS
NSE: FORTIS,Fortis Healthcare Limited,FORTIS
NSE: FOSECOIND,Foseco India Limited,FOSECOIND
NSE: FOURTHDIM,Fourth Dimension Solutions Limited,FOURTHDIM
NSE: FCONSUMER,Future Consumer Limited,FCONSUMER
NSE: FEL,Future Enterprises Limited,FEL
NSE: FLFL,Future Lifestyle Fashions Limited,FLFL
NSE: FMNL,Future Market Networks Limited,FMNL
NSE: FRETAIL,Future Retail Limited,FRETAIL
NSE: FSC,Future Supply Chain Solutions Limited,FSC
NSE: GABRIEL,Gabriel India Limited,GABRIEL
NSE: GAIL,GAIL (India) Limited,GAIL
NSE: GALAXYSURF,Galaxy Surfactants Limited,GALAXYSURF
NSE: GALLISPAT,Gallantt Ispat Limited,GALLISPAT
NSE: GALLANTT,Gallantt Metal Limited,GALLANTT
NSE: GAMMNINFRA,Gammon Infrastructure Projects Limited,GAMMNINFRA
NSE: GANDHITUBE,Gandhi Special Tubes Limited,GANDHITUBE
NSE: GANESHHOUC,Ganesh Housing Corporation Limited,GANESHHOUC
NSE: GANECOS,Ganesha Ecosphere Limited,GANECOS
NSE: GANGAFORGE,Ganga Forging Limited,GANGAFORGE
NSE: GANGESSECU,Ganges Securities Limited,GANGESSECU
NSE: GRSE,Garden Reach Shipbuilders & Engineers Limited,GRSE
NSE: GARDENSILK,Garden Silk Mills Limited,GARDENSILK
NSE: GARFIBRES,Garware Technical Fibres Limited,GARFIBRES
NSE: GDL,Gateway Distriparks Limited,GDL
NSE: GATI,GATI Limited,GATI
NSE: GAYAHWS,Gayatri Highways Limited,GAYAHWS
NSE: GAYAPROJ,Gayatri Projects Limited,GAYAPROJ
NSE: GBGLOBAL,GB Global Limited,GBGLOBAL
NSE: GEPIL,GE Power India Limited,GEPIL
NSE: GET&D,GE T&D India Limited,GET&D
NSE: GEECEE,GeeCee Ventures Limited,GEECEE
NSE: GEEKAYWIRE,Geekay Wires Limited,GEEKAYWIRE
NSE: GICRE,General Insurance Corporation of India,GICRE
NSE: GENESYS,Genesys International Corporation Limited,GENESYS
NSE: GENUSPAPER,Genus Paper & Boards Limited,GENUSPAPER
NSE: GENUSPOWER,Genus Power Infrastructures Limited,GENUSPOWER
NSE: GEOJITFSL,Geojit Financial Services Limited,GEOJITFSL
NSE: GFLLIMITED,GFL Limited,GFLLIMITED
NSE: GHCL,GHCL Limited,GHCL
NSE: GISOLUTION,GI Engineering Solutions Limited,GISOLUTION
NSE: GICHSGFIN,GIC Housing Finance Limited,GICHSGFIN
NSE: GILLANDERS,Gillanders Arbuthnot & Company Limited,GILLANDERS
NSE: GILLETTE,Gillette India Limited,GILLETTE
NSE: GINNIFILA,Ginni Filaments Limited,GINNIFILA
NSE: GIRRESORTS,GIR Natureview Resorts Limited,GIRRESORTS
NSE: GKWLIMITED,GKW Limited,GKWLIMITED
NSE: GLAND,Gland Pharma Limited,GLAND
NSE: GSKCONS,GlaxoSmithKline Consumer Healthcare Limited,GSKCONS
NSE: GLAXO,GlaxoSmithKline Pharmaceuticals Limited,GLAXO
NSE: GLENMARK,Glenmark Pharmaceuticals Limited,GLENMARK
NSE: GLOBAL,Global Education Limited,GLOBAL
NSE: GLOBOFFS,Global Offshore Services Limited,GLOBOFFS
NSE: GLOBALVECT,Global Vectra Helicorp Limited,GLOBALVECT
NSE: GICL,Globe International Carriers Limited,GICL
NSE: GLOBE,Globe Textiles (India) Limited,GLOBE
NSE: GLOBUSSPR,Globus Spirits Limited,GLOBUSSPR
NSE: GMBREW,GM Breweries Limited,GMBREW
NSE: GMMPFAUDLR,GMM Pfaudler Limited,GMMPFAUDLR
NSE: GMRINFRA,GMR Infrastructure Limited,GMRINFRA
NSE: GNA,GNA Axles Limited,GNA
NSE: GOACARBON,Goa Carbon Limited,GOACARBON
NSE: GOCLCORP,GOCL Corporation Limited,GOCLCORP
NSE: GPIL,Godawari Power And Ispat limited,GPIL
NSE: GODFRYPHLP,Godfrey Phillips India Limited,GODFRYPHLP
NSE: GODHA,Godha Cabcon & Insulation Limited,GODHA
NSE: GODREJAGRO,Godrej Agrovet Limited,GODREJAGRO
NSE: GODREJCP,Godrej Consumer Products Limited,GODREJCP
NSE: GODREJIND,Godrej Industries Limited,GODREJIND
NSE: GODREJPROP,Godrej Properties Limited,GODREJPROP
NSE: GOENKA,Goenka Diamond and Jewels Limited,GOENKA
NSE: GOKEX,Gokaldas Exports Limited,GOKEX
NSE: GOKULAGRO,Gokul Agro Resources Limited,GOKULAGRO
NSE: GOKUL,Gokul Refoils and Solvent Limited,GOKUL
NSE: GOLDENTOBC,Golden Tobacco Limited,GOLDENTOBC
NSE: GOLDIAM,Goldiam International Limited,GOLDIAM
NSE: GOLDSTAR,Goldstar Power Limited,GOLDSTAR
NSE: GOLDTECH,Goldstone Technologies Limited,GOLDTECH
NSE: GOODLUCK,Goodluck India Limited,GOODLUCK
NSE: GULFPETRO,GP Petroleums Limited,GULFPETRO
NSE: GPTINFRA,GPT Infraprojects Limited,GPTINFRA
NSE: GFSTEELS,Grand Foundry Limited,GFSTEELS
NSE: GRANULES,Granules India Limited,GRANULES
NSE: GRAPHITE,Graphite India Limited,GRAPHITE
NSE: GRASIM,Grasim Industries Limited,GRASIM
NSE: GRAVITA,Gravita India Limited,GRAVITA
NSE: GREAVESCOT,Greaves Cotton Limited,GREAVESCOT
NSE: GREENLAM,Greenlam Industries Limited,GREENLAM
NSE: GREENPANEL,Greenpanel Industries Limited,GREENPANEL
NSE: GREENPLY,Greenply Industries Limited,GREENPLY
NSE: GRETEX,Gretex Industries Limited,GRETEX
NSE: GRINDWELL,Grindwell Norton Limited,GRINDWELL
NSE: GRINFRA,G R Infraprojects Limited,GRINFRA
NSE: GRPLTD,GRP Limited,GRPLTD
NSE: GSS,GSS Infotech Limited,GSS
NSE: GTLINFRA,GTL Infrastructure Limited,GTLINFRA
NSE: GTL,GTL Limited,GTL
NSE: GTNIND,GTN Industries Limited,GTNIND
NSE: GTNTEX,GTN Textiles Limited,GTNTEX
NSE: GTPL,GTPL Hathway Limited,GTPL
NSE: GUFICBIO,Gufic Biosciences Limited,GUFICBIO
NSE: GUJALKALI,Gujarat Alkalies and Chemicals Limited,GUJALKALI
NSE: GAEL,Gujarat Ambuja Exports Limited,GAEL
NSE: GUJAPOLLO,Gujarat Apollo Industries Limited,GUJAPOLLO
NSE: FLUOROCHEM,Gujarat Fluorochemicals Limited,FLUOROCHEM
NSE: GUJGASLTD,Gujarat Gas Limited,GUJGASLTD
NSE: GIPCL,Gujarat Industries Power Company Limited,GIPCL
NSE: GLFL,Gujarat Lease Financing Limited,GLFL
NSE: GMDCLTD,Gujarat Mineral Development Corporation Limited,GMDCLTD
NSE: GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC
NSE: GPPL,Gujarat Pipavav Port Limited,GPPL
NSE: GUJRAFFIA,Gujarat Raffia Industries Limited,GUJRAFFIA
NSE: GSCLCEMENT,Gujarat Sidhee Cement Limited,GSCLCEMENT
NSE: GSFC,Gujarat State Fertilizers & Chemicals Limited,GSFC
NSE: GSPL,Gujarat State Petronet Limited,GSPL
NSE: GULFOILLUB,Gulf Oil Lubricants India Limited,GULFOILLUB
NSE: GULPOLY,Gulshan Polyols Limited,GULPOLY
NSE: GVKPIL,GVK Power & Infrastructure Limited,GVKPIL
NSE: GAL,Gyscoal Alloys Limited,GAL
NSE: HGINFRA,H.G. Infra Engineering Limited,HGINFRA
NSE: HAPPSTMNDS,Happiest Minds Technologies Limited,HAPPSTMNDS
NSE: HARITASEAT,Harita Seating Systems Limited,HARITASEAT
NSE: HARRMALAYA,Harrisons Malayalam Limited,HARRMALAYA
NSE: HATHWAY,Hathway Cable & Datacom Limited,HATHWAY
NSE: HATSUN,Hatsun Agro Product Limited,HATSUN
NSE: HAVELLS,Havells India Limited,HAVELLS
NSE: HBSL,HB Stockholdings Limited,HBSL
NSE: HBLPOWER,HBL Power Systems Limited,HBLPOWER
NSE: HCL-INSYS,HCL Infosystems Limited,HCL-INSYS
NSE: HCLTECH,HCL Technologies Limited,HCLTECH
NSE: HDFCAMC,HDFC Asset Management Company Limited,HDFCAMC
NSE: HDFCBANK,HDFC Bank Limited,HDFCBANK
NSE: HDFCLIFE,HDFC Life Insurance Company Limited,HDFCLIFE
NSE: HCG,Healthcare Global Enterprises Limited,HCG
NSE: HECPROJECT,HEC Infra Projects Limited,HECPROJECT
NSE: HEG,HEG Limited,HEG
NSE: HEIDELBERG,HeidelbergCement India Limited,HEIDELBERG
NSE: HERANBA,Heranba Industries Limited,HERANBA
NSE: HERCULES,Hercules Hoists Limited,HERCULES
NSE: HERITGFOOD,Heritage Foods Limited,HERITGFOOD
NSE: HEROMOTOCO,Hero MotoCorp Limited,HEROMOTOCO
NSE: HESTERBIO,Hester Biosciences Limited,HESTERBIO
NSE: HEXATRADEX,Hexa Tradex Limited,HEXATRADEX
NSE: HEXAWARE,Hexaware Technologies Limited,HEXAWARE
NSE: HFCL,HFCL Limited,HFCL
NSE: HIKAL,Hikal Limited,HIKAL
NSE: HIL,HIL Limited,HIL
NSE: HILTON,Hilton Metal Forging Limited,HILTON
NSE: HSCL,Himadri Speciality Chemical Limited,HSCL
NSE: HIMATSEIDE,Himatsingka Seide Limited,HIMATSEIDE
NSE: HIRECT,Hind Rectifiers Limited,HIRECT
NSE: HINDALCO,Hindalco Industries Limited,HINDALCO
NSE: HINDCON,Hindcon Chemicals Limited,HINDCON
NSE: HPIL,Hindprakash Industries Limited,HPIL
NSE: HGS,Hinduja Global Solutions Limited,HGS
NSE: HAL,Hindustan Aeronautics Limited,HAL
NSE: HINDCOMPOS,Hindustan Composites Limited,HINDCOMPOS
NSE: HCC,Hindustan Construction Company Limited,HCC
NSE: HINDCOPPER,Hindustan Copper Limited,HINDCOPPER
NSE: HMVL,Hindustan Media Ventures Limited,HMVL
NSE: HINDMOTORS,Hindustan Motors Limited,HINDMOTORS
NSE: HINDOILEXP,Hindustan Oil Exploration Company Limited,HINDOILEXP
NSE: HINDPETRO,Hindustan Petroleum Corporation Limited,HINDPETRO
NSE: HINDUNILVR,Hindustan Unilever Limited,HINDUNILVR
NSE: HINDZINC,Hindustan Zinc Limited,HINDZINC
NSE: HINDNATGLS,Hindustan National Glass & Industries Limited,HINDNATGLS
NSE: HISARMETAL,Hisar Metal Industries Limited,HISARMETAL
NSE: HITECHCORP,Hitech Corporation Limited,HITECHCORP
NSE: HITECH,Hi-Tech Pipes Limited,HITECH
NSE: HLVLTD,HLV Limited,HLVLTD
NSE: HMT,HMT Limited,HMT
NSE: HONDAPOWER,Honda Siel Power Products Limited,HONDAPOWER
NSE: HONAUT,Honeywell Automation India Limited,HONAUT
NSE: HOTELRUGBY,Hotel Rugby Limited,HOTELRUGBY
NSE: HUDCO,Housing & Urban Development Corporation Limited,HUDCO
NSE: HDIL,Housing Development and Infrastructure Limited,HDIL
NSE: HDFC,Housing Development Finance Corporation Limited,HDFC
NSE: HOVS,HOV Services Limited,HOVS
NSE: HPL,HPL Electric & Power Limited,HPL
NSE: HSIL,HSIL Limited,HSIL
NSE: HTMEDIA,HT Media Limited,HTMEDIA
NSE: HUBTOWN,Hubtown Limited,HUBTOWN
NSE: PAPERPROD,Huhtamaki PPL Limited,PAPERPROD
NSE: HUSYSLTD,Husys Consulting Limited,HUSYSLTD
NSE: ICEMAKE,Ice Make Refrigeration Limited,ICEMAKE
NSE: ICICIBANK,ICICI Bank Limited,ICICIBANK
NSE: ICICIGI,ICICI Lombard General Insurance Company Limited,ICICIGI
NSE: ICICIPRULI,ICICI Prudential Life Insurance Company Limited,ICICIPRULI
NSE: ISEC,ICICI Securities Limited,ISEC
NSE: ICRA,ICRA Limited,ICRA
NSE: IDBI,IDBI Bank Limited,IDBI
NSE: IDFCFIRSTB,IDFC First Bank Limited,IDFCFIRSTB
NSE: IDFC,IDFC Limited,IDFC
NSE: IFBAGRO,IFB Agro Industries Limited,IFBAGRO
NSE: IFBIND,IFB Industries Limited,IFBIND
NSE: IFCI,IFCI Limited,IFCI
NSE: IFGLEXPOR,IFGL Refractories Limited,IFGLEXPOR
NSE: IGPL,IG Petrochemicals Limited,IGPL
NSE: IGARASHI,Igarashi Motors India Limited,IGARASHI
NSE: IIFL,IIFL Finance Limited,IIFL
NSE: IIFLSEC,IIFL Securities Limited,IIFLSEC
NSE: IIFLWAM,IIFL Wealth Management Limited,IIFLWAM
NSE: IL&FSENGG,IL&FS Engineering and Construction Company Limited,IL&FSENGG
NSE: IVC,IL&FS Investment Managers Limited,IVC
NSE: IL&FSTRANS,IL&FS Transportation Networks Limited,IL&FSTRANS
NSE: INDLMETER,IMP Powers Limited,INDLMETER
NSE: IMPEXFERRO,Impex Ferro Tech Limited,IMPEXFERRO
NSE: INDBANK,Indbank Merchant Banking Services Limited,INDBANK
NSE: INDIAGLYCO,India Glycols Limited,INDIAGLYCO
NSE: IMPAL,India Motor Parts and Accessories Limited,IMPAL
NSE: INDNIPPON,India Nippon Electricals Limited,INDNIPPON
NSE: ITDC,India Tourism Development Corporation Limited,ITDC
NSE: IBULHSGFIN,Indiabulls Housing Finance Limited,IBULHSGFIN
NSE: IBULISL,Indiabulls Integrated Services Limited,IBULISL
NSE: IBREALEST,Indiabulls Real Estate Limited,IBREALEST
NSE: IBVENTURES,Indiabulls Ventures Limited,IBVENTURES
NSE: INDIAMART,Indiamart Intermesh Limited,INDIAMART
NSE: INDIANB,Indian Bank,INDIANB
NSE: INDIANCARD,Indian Card Clothing Company Limited,INDIANCARD
NSE: IEX,Indian Energy Exchange Limited,IEX
NSE: INDIANHUME,Indian Hume Pipe Company Limited,INDIANHUME
NSE: IMFA,Indian Metals & Ferro Alloys Limited,IMFA
NSE: IOC,Indian Oil Corporation Limited,IOC
NSE: IOB,Indian Overseas Bank,IOB
NSE: IRCTC,Indian Railway Catering and Tourism Corporation Limited,IRCTC
NSE: INDTERRAIN,Indian Terrain Fashions Limited,INDTERRAIN
NSE: ICIL,Indo Count Industries Limited,ICIL
NSE: INDORAMA,Indo Rama Synthetics (India) Limited,INDORAMA
NSE: INDOTECH,Indo Tech Transformers Limited,INDOTECH
NSE: INDOTHAI,Indo Thai Securities Limited,INDOTHAI
NSE: INDOCO,Indoco Remedies Limited,INDOCO
NSE: NIPPOBATRY,Indo-National Limited,NIPPOBATRY
NSE: INDOSOLAR,Indosolar Limited,INDOSOLAR
NSE: INDOSTAR,IndoStar Capital Finance Limited,INDOSTAR
NSE: INDOWIND,Indowind Energy Limited,INDOWIND
NSE: IGL,Indraprastha Gas Limited,IGL
NSE: INDRAMEDCO,Indraprastha Medical Corporation Limited,INDRAMEDCO
NSE: INDSWFTLAB,Ind-Swift Laboratories Limited,INDSWFTLAB
NSE: INDSWFTLTD,Ind-Swift Limited,INDSWFTLTD
NSE: INDUSINDBK,IndusInd Bank Limited,INDUSINDBK
NSE: IITL,Industrial Investment Trust Limited,IITL
NSE: INEOSSTYRO,INEOS Styrolution India Limited,INEOSSTYRO
NSE: INFIBEAM,Infibeam Avenues Limited,INFIBEAM
NSE: NAUKRI,Info Edge (India) Limited,NAUKRI
NSE: INFOBEAN,InfoBeans Technologies Limited,INFOBEAN
NSE: INFOMEDIA,Infomedia Press Limited,INFOMEDIA
NSE: INFY,Infosys Limited,INFY
NSE: INGERRAND,Ingersoll Rand (India) Limited,INGERRAND
NSE: INNOVANA,Innovana Thinklabs Limited,INNOVANA
NSE: INNOVATIVE,Innovative Tyres and Tubes Limited,INNOVATIVE
NSE: INOXLEISUR,INOX Leisure Limited,INOXLEISUR
NSE: INOXWIND,Inox Wind Limited,INOXWIND
NSE: INSECTICID,Insecticides (India) Limited,INSECTICID
NSE: INSPIRISYS,Inspirisys Solutions Limited,INSPIRISYS
NSE: INTEGRA,Integra Garments and Textiles Limited,INTEGRA
NSE: INTELLECT,Intellect Design Arena Limited,INTELLECT
NSE: INTENTECH,Intense Technologies Limited,INTENTECH
NSE: INDIGO,InterGlobe Aviation Limited,INDIGO
NSE: SUBCAPCITY,International Constructions Limited,SUBCAPCITY
NSE: ISFT,Intrasoft Technologies Limited,ISFT
NSE: INVENTURE,Inventure Growth & Securities Limited,INVENTURE
NSE: IOLCP,IOL Chemicals and Pharmaceuticals Limited,IOLCP
NSE: IPCALAB,IPCA Laboratories Limited,IPCALAB
NSE: IRB,IRB Infrastructure Developers Limited,IRB
NSE: IRCON,Ircon International Limited,IRCON
NSE: IRISDOREME,Iris Clothings Limited,IRISDOREME
NSE: ISMTLTD,ISMT Limited,ISMTLTD
NSE: ITC,ITC Limited,ITC
NSE: ITDCEM,ITD Cementation India Limited,ITDCEM
NSE: ITI,ITI Limited,ITI
NSE: IVP,IVP Limited,IVP
NSE: IZMO,IZMO Limited,IZMO
NSE: JKIL,J.Kumar Infraprojects Limited,JKIL
NSE: JAGRAN,Jagran Prakashan Limited,JAGRAN
NSE: JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,JAGSNPHARM
NSE: JAIBALAJI,Jai Balaji Industries Limited,JAIBALAJI
NSE: JAICORPLTD,Jai Corp Limited,JAICORPLTD
NSE: JAIHINDPRO,Jaihind Projects Limited,JAIHINDPRO
NSE: JISLJALEQS,Jain Irrigation Systems Limited,JISLJALEQS
NSE: JAINSTUDIO,Jain Studios Limited,JAINSTUDIO
NSE: JPASSOCIAT,Jaiprakash Associates Limited,JPASSOCIAT
NSE: JPPOWER,Jaiprakash Power Ventures Limited,JPPOWER
NSE: JAKHARIA,Jakharia Fabric Limited,JAKHARIA
NSE: JALAN,Jalan Transolutions (India) Limited,JALAN
NSE: JAMNAAUTO,Jamna Auto Industries Limited,JAMNAAUTO
NSE: JASH,Jash Engineering Limited,JASH
NSE: JAYBARMARU,Jay Bharat Maruti Limited,JAYBARMARU
NSE: JAYAGROGN,Jayant Agro Organics Limited,JAYAGROGN
NSE: JAYNECOIND,Jayaswal Neco Industries Limited,JAYNECOIND
NSE: JPINFRATEC,Jaypee Infratech Limited,JPINFRATEC
NSE: JAYSREETEA,Jayshree Tea & Industries Limited,JAYSREETEA
NSE: JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM
NSE: JBFIND,JBF Industries Limited,JBFIND
NSE: JBMA,JBM Auto Limited,JBMA
NSE: JETAIRWAYS,Jet Airways (India) Limited,JETAIRWAYS
NSE: JETFREIGHT,Jet Freight Logistics Limited,JETFREIGHT
NSE: JETKNIT,Jet Knitwears Limited,JETKNIT
NSE: JHS,JHS Svendgaard Laboratories Limited,JHS
NSE: JIKIND,JIK Industries Limited,JIKIND
NSE: JINDRILL,Jindal Drilling And Industries Limited,JINDRILL
NSE: JINDALPHOT,Jindal Photo Limited,JINDALPHOT
NSE: JINDALPOLY,Jindal Poly Films Limited,JINDALPOLY
NSE: JPOLYINVST,Jindal Poly Investment and Finance Company Limited,JPOLYINVST
NSE: JINDALSAW,Jindal Saw Limited,JINDALSAW
NSE: JSLHISAR,Jindal Stainless (Hisar) Limited,JSLHISAR
NSE: JSL,Jindal Stainless Limited,JSL
NSE: JINDALSTEL,Jindal Steel & Power Limited,JINDALSTEL
NSE: JINDWORLD,Jindal Worldwide Limited,JINDWORLD
NSE: JITFINFRA,JITF Infralogistics Limited,JITFINFRA
NSE: JKCEMENT,JK Cement Limited,JKCEMENT
NSE: JKLAKSHMI,JK Lakshmi Cement Limited,JKLAKSHMI
NSE: JKPAPER,JK Paper Limited,JKPAPER
NSE: JKTYRE,JK Tyre & Industries Limited,JKTYRE
NSE: JMFINANCIL,JM Financial Limited,JMFINANCIL
NSE: JMCPROJECT,JMC Projects (India) Limited,JMCPROJECT
NSE: JMTAUTOLTD,JMT Auto Limited,JMTAUTOLTD
NSE: JOCIL,Jocil Limited,JOCIL
NSE: JCHAC,Johnson Controls – Hitachi Air Conditioning India Limited,JCHAC
NSE: JSWENERGY,JSW Energy Limited,JSWENERGY
NSE: JSWHL,JSW Holdings Limited,JSWHL
NSE: JSWSTEEL,JSW Steel Limited,JSWSTEEL
NSE: JTEKTINDIA,Jtekt India Limited,JTEKTINDIA
NSE: JUBLFOOD,Jubilant Foodworks Limited,JUBLFOOD
NSE: JUBLINDS,Jubilant Industries Limited,JUBLINDS
NSE: JUBILANT,Jubilant Life Sciences Limited,JUBILANT
NSE: JMA,Jullundur Motor Agency (Delhi) Limited,JMA
NSE: JUSTDIAL,Just Dial Limited,JUSTDIAL
NSE: JVLAGRO,JVL Agro Industries Limited,JVLAGRO
NSE: JYOTHYLAB,Jyothy Labs Limited,JYOTHYLAB
NSE: JYOTISTRUC,Jyoti Structures Limited,JYOTISTRUC
NSE: KMSUGAR,K.M.Sugar Mills Limited,KMSUGAR
NSE: KPRMILL,K.P.R. Mill Limited,KPRMILL
NSE: KABRAEXTRU,Kabra Extrusion Technik Limited,KABRAEXTRU
NSE: KAJARIACER,Kajaria Ceramics Limited,KAJARIACER
NSE: KAKATCEM,Kakatiya Cement Sugar & Industries Limited,KAKATCEM
NSE: KALPATPOWR,Kalpataru Power Transmission Limited,KALPATPOWR
NSE: KALYANI,Kalyani Commercials Limited,KALYANI
NSE: KALYANIFRG,Kalyani Forge Limited,KALYANIFRG
NSE: KICL,Kalyani Investment Company Limited,KICL
NSE: KSL,Kalyani Steels Limited,KSL
NSE: KAMATHOTEL,Kamat Hotels (I) Limited,KAMATHOTEL
NSE: KAMDHENU,Kamdhenu Limited,KAMDHENU
NSE: KANANIIND,Kanani Industries Limited,KANANIIND
NSE: KANORICHEM,Kanoria Chemicals & Industries Limited,KANORICHEM
NSE: KANSAINER,Kansai Nerolac Paints Limited,KANSAINER
NSE: KAPSTON,Kapston Facilities Management Limited,KAPSTON
NSE: KARDA,Karda Constructions Limited,KARDA
NSE: KARMAENG,Karma Energy Limited,KARMAENG
NSE: KARURVYSYA,Karur Vysya Bank Limited,KARURVYSYA
NSE: KGL,Karuturi Global Limited,KGL
NSE: KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,KAUSHALYA
NSE: KSCL,Kaveri Seed Company Limited,KSCL
NSE: KAYA,Kaya Limited,KAYA
NSE: KCP,KCP Limited,KCP
NSE: KCPSUGIND,KCP Sugar and Industries Corporation Limited,KCPSUGIND
NSE: KDDL,KDDL Limited,KDDL
NSE: KEC,KEC International Limited,KEC
NSE: KEERTI,Keerti Knowledge and Skills Limited,KEERTI
NSE: KEI,KEI Industries Limited,KEI
NSE: KELLTONTEC,Kellton Tech Solutions Limited,KELLTONTEC
NSE: KERNEX,Kernex Microsystems (India) Limited,KERNEX
NSE: KESORAMIND,Kesoram Industries Limited,KESORAMIND
NSE: KKCL,Kewal Kiran Clothing Limited,KKCL
NSE: KEYFINSERV,Keynote Financial Services Limited,KEYFINSERV
NSE: KHADIM,Khadim India Limited,KHADIM
NSE: KHANDSE,Khandwala Securities Limited,KHANDSE
NSE: KHFM,Khfm Hospitality And Facility Management Services Limited,KHFM
NSE: KILITCH,Kilitch Drugs (India) Limited,KILITCH
NSE: KINGFA,Kingfa Science & Technology (India) Limited,KINGFA
NSE: KIOCL,KIOCL Limited,KIOCL
NSE: KIRIINDUS,Kiri Industries Limited,KIRIINDUS
NSE: KIRLOSBROS,Kirloskar Brothers Limited,KIRLOSBROS
NSE: KECL,Kirloskar Electric Company Limited,KECL
NSE: KIRLOSIND,Kirloskar Industries Limited,KIRLOSIND
NSE: KIRLOSENG,Kirloskar Oil Engines Limited,KIRLOSENG
NSE: KITEX,Kitex Garments Limited,KITEX
NSE: KKVAPOW,KKV Agro Powers Limited,KKVAPOW
NSE: KNRCON,KNR Constructions Limited,KNRCON
NSE: KOHINOOR,Kohinoor Foods Limited,KOHINOOR
NSE: KOKUYOCMLN,Kokuyo Camlin Limited,KOKUYOCMLN
NSE: KOLTEPATIL,Kolte – Patil Developers Limited,KOLTEPATIL
NSE: KOPRAN,Kopran Limited,KOPRAN
NSE: KOTAKBANK,Kotak Mahindra Bank Limited,KOTAKBANK
NSE: KOTHARIPET,Kothari Petrochemicals Limited,KOTHARIPET
NSE: KOTHARIPRO,Kothari Products Limited,KOTHARIPRO
NSE: KOTARISUG,Kothari Sugars And Chemicals Limited,KOTARISUG
NSE: KPITTECH,KPIT Technologies Limited,KPITTECH
NSE: KRBL,KRBL Limited,KRBL
NSE: KREBSBIO,Krebs Biochemicals and Industries Limited,KREBSBIO
NSE: KRIDHANINF,Kridhan Infra Limited,KRIDHANINF
NSE: KRISHANA,Krishana Phoschem Limited,KRISHANA
NSE: KRITIKA,Kritika Wires Limited,KRITIKA
NSE: KSB,Ksb Limited,KSB
NSE: KSHITIJPOL,Kshitij Polyline Limited,KSHITIJPOL
NSE: KSK,KSK Energy Ventures Limited,KSK
